"","Family","Genus","Species","Museum_number","Date","Year","Country","Location","Latitude","Longitude","Reference","Holotype","Checked"
"109","Pteropodidae","Myonycteris","angolensis","","",NA,"Congo","Matouridi",-3.8,14.483,"Aellen & Brosset 1968","",""
"110","Pteropodidae","Myonycteris","angolensis","","",NA,"Congo","Mpoka",-3.917,14.5,"Aellen & Brosset 1968","",""
"111","Pteropodidae","Rousettus","aegyptiacus","","",NA,"Congo","Loudima",-4.25,13,"Aellen & Brosset 1968","",""
"112","Rhinolophidae","Rhinolophus","adami","MHNG","1963-07-26T00:00:00",1963,"Congo","Kimanika",-3.983,14.416,"Aellen & Brosset 1968","Holotype",""
"113","Rhinolophidae","Rhinolophus","adami","","",NA,"Congo","Meya-Nzouari",-3.883,14.525,"Aellen & Brosset 1968","",""
"114","Rhinolophidae","Rhinolophus","landeri","","",NA,"Congo","Loudima",-4.25,13,"Aellen & Brosset 1968","",""
"115","Rhinolophidae","Rhinolophus","silvestris","","",NA,"Congo","Meya-Nzouari",-3.883,14.533,"Aellen & Brosset 1968","",""
"116","Rhinonycteridae","Triaenops","afer","MNHN1968-412","",NA,"Congo","Loudima, Doumboula cave",-4.42,13,"Aellen & Brosset 1968","",""
"117","Emballonuridae","Saccolaimus","peli","","",NA,"Cameroon","Barombi",4.667,9.4,"Aellen 1952","",""
"118","Emballonuridae","Saccolaimus","peli","","",NA,"Cameroon","Mamfe",5.783,9.3,"Aellen 1952","",""
"119","Emballonuridae","Saccolaimus","peli","","",NA,"Cameroon","Mount Cameroon",4.15,9.233,"Aellen 1952","",""
"120","Emballonuridae","Saccolaimus","peli","","",NA,"Cameroon","Yaounde",3.867,11.517,"Aellen 1952","",""
"121","Emballonuridae","Taphozous","mauritianus","","",NA,"Cameroon","Kribi",2.967,9.917,"Aellen 1952","",""
"122","Emballonuridae","Taphozous","mauritianus","","",NA,"Cameroon","Mungo",4.05,9.56,"Aellen 1952","",""
"123","Emballonuridae","Taphozous","mauritianus","","",NA,"Cameroon","Tibati",6.417,12.533,"Aellen 1952","",""
"124","Emballonuridae","Taphozous","mauritianus","","",NA,"Cameroon","Yaounde",3.867,11.517,"Aellen 1952","",""
"125","Hipposideridae","Doryrhina","cyclops","","",NA,"Cameroon","Besongabang",5.707,9.298,"Aellen 1952","",""
"126","Hipposideridae","Doryrhina","cyclops","","",NA,"Cameroon","Bitye",3.217,12.367,"Aellen 1952","",""
"127","Hipposideridae","Doryrhina","cyclops","","",NA,"Cameroon","Efulen",2.867,10.567,"Aellen 1952","",""
