Family,Genus,Species,Museum_number,Date,Year,Country,Location,Latitude,Longitude,Reference,Holotype,Checked
Emballonuridae,Coleura,afra,,,NA,Kenya,"Mombasa, Fort Jesus",-4.05,39.6667,Aggundey & Schlitter 1984,,
Emballonuridae,Coleura,afra,,,NA,Kenya,Msambweni,-4.4667,39.4833,Aggundey & Schlitter 1984,,
Emballonuridae,Coleura,afra,,,NA,Kenya,"Mwingi, 10 mi E",-0.9333,38.2333,Aggundey & Schlitter 1984,,
Emballonuridae,Coleura,afra,,,NA,Kenya,"Ngombeni, Mombasa 11 km S",-4.1333,39.65,Aggundey & Schlitter 1984,,
Emballonuridae,Coleura,afra,,,NA,Kenya,Shimoni,-4.62,39.36,Aggundey & Schlitter 1984,,
Emballonuridae,Coleura,afra,,,NA,Kenya,Tsavo,-2.9833,38.4667,Aggundey & Schlitter 1984,,
Emballonuridae,Coleura,afra,,,NA,Kenya,Tschaka,-2.55,40.6167,Aggundey & Schlitter 1984,,
Emballonuridae,Coleura,afra,,,NA,Kenya,Voi,-3.3833,38.5667,Aggundey & Schlitter 1984,,
Emballonuridae,Coleura,afra,BMNH 1858.6.18.12,,1852,Mozambique,Tete,-16.27,33.58,Smithers & Lobao Tello 1976,Holotype,
Emballonuridae,Coleura,afra,,,NA,Somalia,Alto Giuba,3,43.5,Funaioli 1959,,
Emballonuridae,Coleura,afra,,,NA,Somalia,Migiurtinia,10,50,Funaioli 1959,,
Emballonuridae,Coleura,afra,,,NA,Somalia,Mogadiscio (= Moqdishu),2.05,45.3333,Funaioli 1959,,
Emballonuridae,Coleura,afra,,,NA,Somalia,Mudugh,7,48,Funaioli 1959,,
Emballonuridae,Coleura,afra,FMNH,,NA,South Sudan,Imurok,4.3128,32.3911,Koopman 1975,,
Emballonuridae,Coleura,afra,BMNH,,NA,South Sudan,Jebel Zeraf,9.3333,31.1667,Koopman 1975,,
Emballonuridae,Coleura,afra,FMNH,,NA,South Sudan,"Katuluru (Torit, 20 mi W)",4.4167,32.1667,Koopman 1975,,
Emballonuridae,Coleura,afra,FMNH,,NA,South Sudan,Kibish Wells,5.25,35.8333,Koopman 1975,,
Emballonuridae,Coleura,afra,FMNH,,NA,South Sudan,"Molongori (Torit, 25 mi SE)",4.25,32.6667,Koopman 1975,,
Emballonuridae,Coleura,afra,FMNH,,NA,South Sudan,Sunnat,4.2667,32.8167,Koopman 1975,,
Emballonuridae,Coleura,afra,BMNH,,NA,South Sudan,Tonga,9.3167,31.0333,Koopman 1975,,
Emballonuridae,Coleura,afra,AMNH,,NA,South Sudan,Torit,4.4167,32.5667,Koopman 1975,,
Emballonuridae,Coleura,afra,FMNH,,NA,South Sudan,Yambio (Marunga cave),4.5667,28.4167,Koopman 1975,,
Emballonuridae,Coleura,afra,,,NA,Sudan,Jebel Moya,13.5,33.3333,Kock 1969,,
Emballonuridae,Coleura,afra,SMF,,1963,Sudan,Kadugli (Nuba mountains),11,29.7167,Kock 1969,,
Emballonuridae,Coleura,afra,BMNH,,NA,Sudan,Ingessana Hills,11.5,34,Koopman 1975,,
